filename, jobs, machines, algo, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, exec_time, result
100_20_01, 100, 20, vnd, 0, rz, t, 933851, tei, 11898, 1837548
100_20_01, 100, 20, vnd, 0, rz, t, 933851, tie, 11065, 1824454
100_20_02, 100, 20, vnd, 0, rz, t, 662840, tei, 9962, 1846756
100_20_02, 100, 20, vnd, 0, rz, t, 662840, tie, 10451, 1841859
100_20_03, 100, 20, vnd, 0, rz, t, 668885, tei, 12663, 1703842
100_20_03, 100, 20, vnd, 0, rz, t, 668885, tie, 13428, 1694390
100_20_04, 100, 20, vnd, 0, rz, t, 478910, tei, 8323, 1985334
100_20_04, 100, 20, vnd, 0, rz, t, 478910, tie, 8227, 1981745
100_20_05, 100, 20, vnd, 0, rz, t, 399718, tei, 18354, 1579380
100_20_05, 100, 20, vnd, 0, rz, t, 399718, tie, 13343, 1577091
100_20_06, 100, 20, vnd, 0, rz, t, 183777, tei, 13175, 1697966
100_20_06, 100, 20, vnd, 0, rz, t, 183777, tie, 9650, 1681998
100_20_07, 100, 20, vnd, 0, rz, t, 210836, tei, 20017, 1792683
100_20_07, 100, 20, vnd, 0, rz, t, 210836, tie, 14036, 1813874
100_20_08, 100, 20, vnd, 0, rz, t, 922923, tei, 10044, 1790537
100_20_08, 100, 20, vnd, 0, rz, t, 922923, tie, 6210, 1801238
100_20_09, 100, 20, vnd, 0, rz, t, 254669, tei, 10026, 1888192
100_20_09, 100, 20, vnd, 0, rz, t, 254669, tie, 11718, 1867388
100_20_10, 100, 20, vnd, 0, rz, t, 381277, tei, 8482, 1695634
100_20_10, 100, 20, vnd, 0, rz, t, 381277, tie, 7393, 1704404
100_20_11, 100, 20, vnd, 0, rz, t, 192141, tei, 23601, 1853048
100_20_11, 100, 20, vnd, 0, rz, t, 192141, tie, 18173, 1859442
100_20_12, 100, 20, vnd, 0, rz, t, 603126, tei, 12343, 1732061
100_20_12, 100, 20, vnd, 0, rz, t, 603126, tie, 6122, 1734775
100_20_13, 100, 20, vnd, 0, rz, t, 886138, tei, 16508, 1749105
100_20_13, 100, 20, vnd, 0, rz, t, 886138, tie, 10960, 1763975
100_20_14, 100, 20, vnd, 0, rz, t, 132072, tei, 19435, 1756222
100_20_14, 100, 20, vnd, 0, rz, t, 132072, tie, 17250, 1742622
100_20_15, 100, 20, vnd, 0, rz, t, 304046, tei, 8832, 1486949
100_20_15, 100, 20, vnd, 0, rz, t, 304046, tie, 7307, 1487923
100_20_16, 100, 20, vnd, 0, rz, t, 859342, tei, 8292, 1895673
100_20_16, 100, 20, vnd, 0, rz, t, 859342, tie, 8350, 1897705
100_20_17, 100, 20, vnd, 0, rz, t, 913116, tei, 13705, 1799917
100_20_17, 100, 20, vnd, 0, rz, t, 913116, tie, 11073, 1809006
100_20_18, 100, 20, vnd, 0, rz, t, 825729, tei, 14986, 1844328
100_20_18, 100, 20, vnd, 0, rz, t, 825729, tie, 9457, 1845931
100_20_19, 100, 20, vnd, 0, rz, t, 759748, tei, 13896, 1705579
100_20_19, 100, 20, vnd, 0, rz, t, 759748, tie, 10202, 1719272
100_20_20, 100, 20, vnd, 0, rz, t, 820839, tei, 14896, 1837053
100_20_20, 100, 20, vnd, 0, rz, t, 820839, tie, 6927, 1834752
100_20_21, 100, 20, vnd, 0, rz, t, 698895, tei, 10447, 1755418
100_20_21, 100, 20, vnd, 0, rz, t, 698895, tie, 10671, 1756185
100_20_22, 100, 20, vnd, 0, rz, t, 857777, tei, 10064, 1787088
100_20_22, 100, 20, vnd, 0, rz, t, 857777, tie, 10970, 1776334
100_20_23, 100, 20, vnd, 0, rz, t, 820001, tei, 9268, 1832403
100_20_23, 100, 20, vnd, 0, rz, t, 820001, tie, 7145, 1841500
100_20_24, 100, 20, vnd, 0, rz, t, 822744, tei, 9349, 1740272
100_20_24, 100, 20, vnd, 0, rz, t, 822744, tie, 10107, 1737329
100_20_25, 100, 20, vnd, 0, rz, t, 725504, tei, 9302, 1745247
100_20_25, 100, 20, vnd, 0, rz, t, 725504, tie, 8159, 1756508
100_20_26, 100, 20, vnd, 0, rz, t, 784083, tei, 12597, 1608862
100_20_26, 100, 20, vnd, 0, rz, t, 784083, tie, 13914, 1606368
100_20_27, 100, 20, vnd, 0, rz, t, 139298, tei, 19576, 1896130
100_20_27, 100, 20, vnd, 0, rz, t, 139298, tie, 6519, 1911710
100_20_28, 100, 20, vnd, 0, rz, t, 108126, tei, 12148, 1768458
100_20_28, 100, 20, vnd, 0, rz, t, 108126, tie, 7017, 1780172
100_20_29, 100, 20, vnd, 0, rz, t, 547237, tei, 11720, 2030898
100_20_29, 100, 20, vnd, 0, rz, t, 547237, tie, 11147, 2062291
100_20_30, 100, 20, vnd, 0, rz, t, 463951, tei, 11966, 1817086
100_20_30, 100, 20, vnd, 0, rz, t, 463951, tie, 6503, 1802229
50_20_01, 50, 20, vnd, 0, rz, t, 765969, tei, 558, 610123
50_20_01, 50, 20, vnd, 0, rz, t, 765969, tie, 638, 607386
50_20_02, 50, 20, vnd, 0, rz, t, 377031, tei, 777, 630863
50_20_02, 50, 20, vnd, 0, rz, t, 377031, tie, 1126, 628223
50_20_03, 50, 20, vnd, 0, rz, t, 185933, tei, 1166, 598892
50_20_03, 50, 20, vnd, 0, rz, t, 185933, tie, 451, 599235
50_20_04, 50, 20, vnd, 0, rz, t, 463154, tei, 932, 676514
50_20_04, 50, 20, vnd, 0, rz, t, 463154, tie, 711, 674947
50_20_05, 50, 20, vnd, 0, rz, t, 490058, tei, 938, 664556
50_20_05, 50, 20, vnd, 0, rz, t, 490058, tie, 987, 662741
50_20_06, 50, 20, vnd, 0, rz, t, 178846, tei, 643, 653805
50_20_06, 50, 20, vnd, 0, rz, t, 178846, tie, 535, 655640
50_20_07, 50, 20, vnd, 0, rz, t, 545114, tei, 2178, 576714
50_20_07, 50, 20, vnd, 0, rz, t, 545114, tie, 736, 579663
50_20_08, 50, 20, vnd, 0, rz, t, 292594, tei, 382, 538976
50_20_08, 50, 20, vnd, 0, rz, t, 292594, tie, 352, 542886
50_20_09, 50, 20, vnd, 0, rz, t, 165780, tei, 447, 588817
50_20_09, 50, 20, vnd, 0, rz, t, 165780, tie, 394, 588689
50_20_10, 50, 20, vnd, 0, rz, t, 253400, tei, 434, 610236
50_20_10, 50, 20, vnd, 0, rz, t, 253400, tie, 868, 606447
50_20_11, 50, 20, vnd, 0, rz, t, 673713, tei, 989, 611084
50_20_11, 50, 20, vnd, 0, rz, t, 673713, tie, 588, 614216
50_20_12, 50, 20, vnd, 0, rz, t, 299713, tei, 896, 596247
50_20_12, 50, 20, vnd, 0, rz, t, 299713, tie, 519, 595930
50_20_13, 50, 20, vnd, 0, rz, t, 811267, tei, 1044, 562107
50_20_13, 50, 20, vnd, 0, rz, t, 811267, tie, 569, 565484
50_20_14, 50, 20, vnd, 0, rz, t, 170523, tei, 463, 589191
50_20_14, 50, 20, vnd, 0, rz, t, 170523, tie, 368, 584816
50_20_15, 50, 20, vnd, 0, rz, t, 480964, tei, 1009, 601533
50_20_15, 50, 20, vnd, 0, rz, t, 480964, tie, 454, 608389
50_20_16, 50, 20, vnd, 0, rz, t, 626148, tei, 1119, 556564
50_20_16, 50, 20, vnd, 0, rz, t, 626148, tie, 592, 556730
50_20_17, 50, 20, vnd, 0, rz, t, 59724, tei, 456, 660292
50_20_17, 50, 20, vnd, 0, rz, t, 59724, tie, 236, 661444
50_20_18, 50, 20, vnd, 0, rz, t, 486598, tei, 937, 641005
50_20_18, 50, 20, vnd, 0, rz, t, 486598, tie, 237, 645996
50_20_19, 50, 20, vnd, 0, rz, t, 124871, tei, 964, 477609
50_20_19, 50, 20, vnd, 0, rz, t, 124871, tie, 409, 478244
50_20_20, 50, 20, vnd, 0, rz, t, 764364, tei, 633, 577395
50_20_20, 50, 20, vnd, 0, rz, t, 764364, tie, 445, 582009
50_20_21, 50, 20, vnd, 0, rz, t, 825492, tei, 1197, 630918
50_20_21, 50, 20, vnd, 0, rz, t, 825492, tie, 552, 637490
50_20_22, 50, 20, vnd, 0, rz, t, 191152, tei, 729, 662505
50_20_22, 50, 20, vnd, 0, rz, t, 191152, tie, 578, 659162
50_20_23, 50, 20, vnd, 0, rz, t, 461014, tei, 719, 615619
50_20_23, 50, 20, vnd, 0, rz, t, 461014, tie, 344, 615272
50_20_24, 50, 20, vnd, 0, rz, t, 286564, tei, 1253, 558823
50_20_24, 50, 20, vnd, 0, rz, t, 286564, tie, 543, 557742
50_20_25, 50, 20, vnd, 0, rz, t, 941736, tei, 1830, 600494
50_20_25, 50, 20, vnd, 0, rz, t, 941736, tie, 1393, 597630
50_20_26, 50, 20, vnd, 0, rz, t, 667903, tei, 488, 608184
50_20_26, 50, 20, vnd, 0, rz, t, 667903, tie, 546, 615420
50_20_27, 50, 20, vnd, 0, rz, t, 243097, tei, 519, 575786
50_20_27, 50, 20, vnd, 0, rz, t, 243097, tie, 621, 573409
50_20_28, 50, 20, vnd, 0, rz, t, 399531, tei, 1259, 558687
50_20_28, 50, 20, vnd, 0, rz, t, 399531, tie, 528, 558245
50_20_29, 50, 20, vnd, 0, rz, t, 843458, tei, 1216, 551969
50_20_29, 50, 20, vnd, 0, rz, t, 843458, tie, 984, 553187
50_20_30, 50, 20, vnd, 0, rz, t, 302274, tei, 800, 516630
50_20_30, 50, 20, vnd, 0, rz, t, 302274, tie, 1031, 512457

