filename, jobs, machines, algo, seed, exec_time, result, lambda, dsize, max_time
./instances/50_20_01, 50, 20, iga, 741747, 16963, 603714, 2, 6, 300000
./instances/50_20_01, 50, 20, iga, 741747, 17381, 604960, 2, 8, 300000
./instances/50_20_02, 50, 20, iga, 568575, 13583, 626649, 2, 6, 300000
./instances/50_20_02, 50, 20, iga, 568575, 18851, 628261, 2, 8, 300000
./instances/50_20_03, 50, 20, iga, 389529, 9787, 597099, 2, 6, 300000
./instances/50_20_03, 50, 20, iga, 389529, 10690, 593398, 2, 8, 300000
./instances/50_20_04, 50, 20, iga, 799729, 11514, 671532, 2, 6, 300000
./instances/50_20_04, 50, 20, iga, 799729, 17884, 673688, 2, 8, 300000
./instances/50_20_05, 50, 20, iga, 547597, 21444, 663384, 2, 6, 300000
./instances/50_20_05, 50, 20, iga, 547597, 11763, 661128, 2, 8, 300000
./instances/50_20_06, 50, 20, iga, 578026, 27673, 645338, 2, 6, 300000
./instances/50_20_06, 50, 20, iga, 578026, 19462, 648074, 2, 8, 300000
./instances/50_20_07, 50, 20, iga, 187828, 13838, 566534, 2, 6, 300000
./instances/50_20_07, 50, 20, iga, 187828, 12029, 571032, 2, 8, 300000
./instances/50_20_08, 50, 20, iga, 322853, 21275, 538571, 2, 6, 300000
./instances/50_20_08, 50, 20, iga, 322853, 16282, 533819, 2, 8, 300000
./instances/50_20_09, 50, 20, iga, 743164, 42717, 576711, 2, 6, 300000
./instances/50_20_09, 50, 20, iga, 743164, 12678, 573156, 2, 8, 300000
./instances/50_20_10, 50, 20, iga, 400301, 12500, 604622, 2, 6, 300000
./instances/50_20_10, 50, 20, iga, 400301, 15244, 604309, 2, 8, 300000
./instances/50_20_11, 50, 20, iga, 514002, 18971, 610242, 2, 6, 300000
./instances/50_20_11, 50, 20, iga, 514002, 14992, 608998, 2, 8, 300000
./instances/50_20_12, 50, 20, iga, 609288, 11555, 587319, 2, 6, 300000
./instances/50_20_12, 50, 20, iga, 609288, 10475, 586105, 2, 8, 300000
./instances/50_20_13, 50, 20, iga, 362378, 22449, 556938, 2, 6, 300000
./instances/50_20_13, 50, 20, iga, 362378, 15899, 558206, 2, 8, 300000
./instances/50_20_14, 50, 20, iga, 504644, 23773, 576531, 2, 6, 300000
./instances/50_20_14, 50, 20, iga, 504644, 9348, 577226, 2, 8, 300000
./instances/50_20_15, 50, 20, iga, 320679, 26807, 598138, 2, 6, 300000
./instances/50_20_15, 50, 20, iga, 320679, 8188, 598334, 2, 8, 300000
./instances/50_20_16, 50, 20, iga, 3476, 13317, 555075, 2, 6, 300000
./instances/50_20_16, 50, 20, iga, 3476, 8537, 553568, 2, 8, 300000
./instances/50_20_17, 50, 20, iga, 375139, 13898, 650658, 2, 6, 300000
