filename, jobs, machines, algo, seed, exec_time, result, pop_size, xprob, mprob, wtype, mtype, max_time
./instances/50_20_10, 50, 20, gen, 188450, 28772, 608617, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_10, 50, 20, gen, 651748, 23385, 609477, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_10, 50, 20, gen, 906078, 40928, 605630, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_10, 50, 20, gen, 616731, 14982, 610235, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_10, 50, 20, gen, 158089, 30669, 605500, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_11, 50, 20, gen, 645510, 18075, 614920, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_11, 50, 20, gen, 545551, 17376, 612058, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_11, 50, 20, gen, 961647, 19313, 614758, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_11, 50, 20, gen, 537432, 39693, 611077, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_11, 50, 20, gen, 743397, 16030, 618375, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_12, 50, 20, gen, 581357, 29665, 590822, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_12, 50, 20, gen, 433927, 23428, 592302, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_12, 50, 20, gen, 51981, 33137, 590209, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_12, 50, 20, gen, 92009, 20920, 592457, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_12, 50, 20, gen, 50516, 30021, 590392, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_13, 50, 20, gen, 557737, 29036, 558794, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_13, 50, 20, gen, 346035, 26461, 559180, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_13, 50, 20, gen, 509896, 22631, 559278, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_13, 50, 20, gen, 516563, 27009, 558129, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_13, 50, 20, gen, 118803, 25568, 563791, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_14, 50, 20, gen, 405874, 16741, 584951, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_14, 50, 20, gen, 96070, 16656, 584389, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_14, 50, 20, gen, 857919, 32213, 580508, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_14, 50, 20, gen, 943252, 23195, 584446, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_14, 50, 20, gen, 843345, 16358, 582358, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_15, 50, 20, gen, 518228, 30095, 603474, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_15, 50, 20, gen, 827234, 27177, 603747, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_15, 50, 20, gen, 449731, 17098, 605151, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_15, 50, 20, gen, 188899, 26539, 602527, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_15, 50, 20, gen, 906637, 26009, 603170, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_16, 50, 20, gen, 578158, 25885, 559459, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_16, 50, 20, gen, 563006, 22983, 558388, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_16, 50, 20, gen, 46298, 23352, 560133, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_16, 50, 20, gen, 828972, 20666, 556615, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_16, 50, 20, gen, 45924, 33221, 556979, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_17, 50, 20, gen, 507041, 20049, 658127, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_17, 50, 20, gen, 729211, 23977, 655212, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_17, 50, 20, gen, 892968, 19604, 656095, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_17, 50, 20, gen, 542156, 14042, 659033, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_17, 50, 20, gen, 212880, 26552, 654628, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_18, 50, 20, gen, 894857, 23714, 640724, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_18, 50, 20, gen, 574248, 29137, 639788, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_18, 50, 20, gen, 912032, 22817, 634524, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_18, 50, 20, gen, 526312, 20007, 640697, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_18, 50, 20, gen, 520327, 17230, 639262, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_19, 50, 20, gen, 990414, 26549, 468256, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_19, 50, 20, gen, 862057, 24341, 470235, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_19, 50, 20, gen, 894514, 29997, 472791, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_19, 50, 20, gen, 304891, 16735, 472331, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_19, 50, 20, gen, 245839, 20215, 469744, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_20, 50, 20, gen, 230270, 32743, 571070, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_20, 50, 20, gen, 820464, 18606, 574484, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_20, 50, 20, gen, 706924, 26396, 572246, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_20, 50, 20, gen, 787882, 25404, 570831, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_20, 50, 20, gen, 891674, 35429, 574435, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_21, 50, 20, gen, 853359, 26741, 627642, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_21, 50, 20, gen, 272187, 17202, 629112, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_21, 50, 20, gen, 101507, 30665, 625482, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_21, 50, 20, gen, 395983, 22032, 628028, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_21, 50, 20, gen, 770639, 19045, 629092, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_22, 50, 20, gen, 464569, 23134, 656452, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_22, 50, 20, gen, 420607, 16378, 660453, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_22, 50, 20, gen, 108080, 16559, 654462, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_22, 50, 20, gen, 52136, 20277, 657466, 20, 0.99, 0.05, uni, tr, 100000
./instances/50_20_22, 50, 20, gen, 916202, 28392, 654306, 20, 0.99, 0.05, uni, tr, 100000
