./instances/50_20_07, 50, 20, vnd, 0, rz, t, 545114, tie, 736, 579663
./instances/50_20_08, 50, 20, vnd, 0, rz, t, 292594, tei, 382, 538976
./instances/50_20_08, 50, 20, vnd, 0, rz, t, 292594, tie, 352, 542886
./instances/50_20_09, 50, 20, vnd, 0, rz, t, 165780, tei, 447, 588817
./instances/50_20_09, 50, 20, vnd, 0, rz, t, 165780, tie, 394, 588689
./instances/50_20_10, 50, 20, vnd, 0, rz, t, 253400, tei, 434, 610236
./instances/50_20_10, 50, 20, vnd, 0, rz, t, 253400, tie, 868, 606447
./instances/50_20_11, 50, 20, vnd, 0, rz, t, 673713, tei, 989, 611084
./instances/50_20_11, 50, 20, vnd, 0, rz, t, 673713, tie, 588, 614216
./instances/50_20_12, 50, 20, vnd, 0, rz, t, 299713, tei, 896, 596247
./instances/50_20_12, 50, 20, vnd, 0, rz, t, 299713, tie, 519, 595930
./instances/50_20_13, 50, 20, vnd, 0, rz, t, 811267, tei, 1044, 562107
./instances/50_20_13, 50, 20, vnd, 0, rz, t, 811267, tie, 569, 565484
./instances/50_20_14, 50, 20, vnd, 0, rz, t, 170523, tei, 463, 589191
./instances/50_20_14, 50, 20, vnd, 0, rz, t, 170523, tie, 368, 584816
./instances/50_20_15, 50, 20, vnd, 0, rz, t, 480964, tei, 1009, 601533
./instances/50_20_15, 50, 20, vnd, 0, rz, t, 480964, tie, 454, 608389
./instances/50_20_16, 50, 20, vnd, 0, rz, t, 626148, tei, 1119, 556564
./instances/50_20_16, 50, 20, vnd, 0, rz, t, 626148, tie, 592, 556730
./instances/50_20_17, 50, 20, vnd, 0, rz, t, 59724, tei, 456, 660292
./instances/50_20_17, 50, 20, vnd, 0, rz, t, 59724, tie, 236, 661444
./instances/50_20_18, 50, 20, vnd, 0, rz, t, 486598, tei, 937, 641005
./instances/50_20_18, 50, 20, vnd, 0, rz, t, 486598, tie, 237, 645996
./instances/50_20_19, 50, 20, vnd, 0, rz, t, 124871, tei, 964, 477609
./instances/50_20_19, 50, 20, vnd, 0, rz, t, 124871, tie, 409, 478244
./instances/50_20_20, 50, 20, vnd, 0, rz, t, 764364, tei, 633, 577395
./instances/50_20_20, 50, 20, vnd, 0, rz, t, 764364, tie, 445, 582009
./instances/50_20_21, 50, 20, vnd, 0, rz, t, 825492, tei, 1197, 630918
./instances/50_20_21, 50, 20, vnd, 0, rz, t, 825492, tie, 552, 637490
./instances/50_20_22, 50, 20, vnd, 0, rz, t, 191152, tei, 729, 662505
./instances/50_20_22, 50, 20, vnd, 0, rz, t, 191152, tie, 578, 659162
./instances/50_20_23, 50, 20, vnd, 0, rz, t, 461014, tei, 719, 615619
./instances/50_20_23, 50, 20, vnd, 0, rz, t, 461014, tie, 344, 615272
./instances/50_20_24, 50, 20, vnd, 0, rz, t, 286564, tei, 1253, 558823
./instances/50_20_24, 50, 20, vnd, 0, rz, t, 286564, tie, 543, 557742
./instances/50_20_25, 50, 20, vnd, 0, rz, t, 941736, tei, 1830, 600494
./instances/50_20_25, 50, 20, vnd, 0, rz, t, 941736, tie, 1393, 597630
./instances/50_20_26, 50, 20, vnd, 0, rz, t, 667903, tei, 488, 608184
./instances/50_20_26, 50, 20, vnd, 0, rz, t, 667903, tie, 546, 615420
./instances/50_20_27, 50, 20, vnd, 0, rz, t, 243097, tei, 519, 575786
./instances/50_20_27, 50, 20, vnd, 0, rz, t, 243097, tie, 621, 573409
./instances/50_20_28, 50, 20, vnd, 0, rz, t, 399531, tei, 1259, 558687
./instances/50_20_28, 50, 20, vnd, 0, rz, t, 399531, tie, 528, 558245
./instances/50_20_29, 50, 20, vnd, 0, rz, t, 843458, tei, 1216, 551969
./instances/50_20_29, 50, 20, vnd, 0, rz, t, 843458, tie, 984, 553187
./instances/50_20_30, 50, 20, vnd, 0, rz, t, 302274, tei, 800, 516630
./instances/50_20_30, 50, 20, vnd, 0, rz, t, 302274, tie, 1031, 512457
