filename, number_of_jobs, number_of_machines, algorithm, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, execution_time.ms, result
100_20_01, 100, 20, ii, 0, random, t, 990939, tei, 300, 2603173
100_20_01, 100, 20, ii, 0, random, e, 990939, tei, 119235, 1807391
100_20_01, 100, 20, ii, 0, random, i, 990939, tei, 255733, 1846720
100_20_01, 100, 20, ii, 0, rz, t, 990939, tei, 31, 1861380
100_20_01, 100, 20, ii, 0, rz, e, 990939, tei, 6282, 1841685
100_20_01, 100, 20, ii, 0, rz, i, 990939, tei, 12997, 1826045
100_20_01, 100, 20, ii, 1, random, t, 990939, tei, 358, 2617386
100_20_01, 100, 20, ii, 1, random, e, 990939, tei, 27441, 1848523
100_20_01, 100, 20, ii, 1, random, i, 990939, tei, 60940, 1890713
100_20_01, 100, 20, ii, 1, rz, t, 990939, tei, 29, 1861380
100_20_01, 100, 20, ii, 1, rz, e, 990939, tei, 5543, 1845234
100_20_01, 100, 20, ii, 1, rz, i, 990939, tei, 9219, 1841547
100_20_02, 100, 20, ii, 0, random, t, 755265, tei, 586, 2365147
100_20_02, 100, 20, ii, 0, random, e, 755265, tei, 94614, 1821266
100_20_02, 100, 20, ii, 0, random, i, 755265, tei, 257672, 1848920
100_20_02, 100, 20, ii, 0, rz, t, 755265, tei, 25, 1872882
100_20_02, 100, 20, ii, 0, rz, e, 755265, tei, 10093, 1853325
100_20_02, 100, 20, ii, 0, rz, i, 755265, tei, 16798, 1842217
100_20_02, 100, 20, ii, 1, random, t, 755265, tei, 338, 2400424
100_20_02, 100, 20, ii, 1, random, e, 755265, tei, 24167, 1886004
100_20_02, 100, 20, ii, 1, random, i, 755265, tei, 40502, 1898740
100_20_02, 100, 20, ii, 1, rz, t, 755265, tei, 28, 1872882
100_20_02, 100, 20, ii, 1, rz, e, 755265, tei, 5184, 1860042
100_20_02, 100, 20, ii, 1, rz, i, 755265, tei, 13683, 1844177
100_20_03, 100, 20, ii, 0, random, t, 569193, tei, 366, 2359209
100_20_03, 100, 20, ii, 0, random, e, 569193, tei, 119484, 1710604
100_20_03, 100, 20, ii, 0, random, i, 569193, tei, 273782, 1711147
100_20_03, 100, 20, ii, 0, rz, t, 569193, tei, 49, 1754072
100_20_03, 100, 20, ii, 0, rz, e, 569193, tei, 8919, 1717060
100_20_03, 100, 20, ii, 0, rz, i, 569193, tei, 20950, 1723543
100_20_03, 100, 20, ii, 1, random, t, 569193, tei, 355, 2400891
100_20_03, 100, 20, ii, 1, random, e, 569193, tei, 24103, 1724677
100_20_03, 100, 20, ii, 1, random, i, 569193, tei, 63948, 1720150
100_20_03, 100, 20, ii, 1, rz, t, 569193, tei, 40, 1754127
100_20_03, 100, 20, ii, 1, rz, e, 569193, tei, 5848, 1721012
100_20_03, 100, 20, ii, 1, rz, i, 569193, tei, 16382, 1710347
100_20_04, 100, 20, ii, 0, random, t, 608092, tei, 303, 2686946
100_20_04, 100, 20, ii, 0, random, e, 608092, tei, 95077, 1966499
100_20_04, 100, 20, ii, 0, random, i, 608092, tei, 274146, 1995741
100_20_04, 100, 20, ii, 0, rz, t, 608092, tei, 50, 2002693
100_20_04, 100, 20, ii, 0, rz, e, 608092, tei, 4928, 2001101
100_20_04, 100, 20, ii, 0, rz, i, 608092, tei, 17538, 1983979
100_20_04, 100, 20, ii, 1, random, t, 608092, tei, 832, 2675213
100_20_04, 100, 20, ii, 1, random, e, 608092, tei, 32051, 2041599
100_20_04, 100, 20, ii, 1, random, i, 608092, tei, 64202, 2013198
100_20_04, 100, 20, ii, 1, rz, t, 608092, tei, 50, 2008627
100_20_04, 100, 20, ii, 1, rz, e, 608092, tei, 2896, 1998082
100_20_04, 100, 20, ii, 1, rz, i, 608092, tei, 11614, 1995561
100_20_05, 100, 20, ii, 0, random, t, 394631, tei, 330, 2191165
100_20_05, 100, 20, ii, 0, random, e, 394631, tei, 119173, 1569886
100_20_05, 100, 20, ii, 0, random, i, 394631, tei, 329229, 1568400
100_20_05, 100, 20, ii, 0, rz, t, 394631, tei, 42, 1620783
100_20_05, 100, 20, ii, 0, rz, e, 394631, tei, 8615, 1605878
100_20_05, 100, 20, ii, 0, rz, i, 394631, tei, 20984, 1575143
100_20_05, 100, 20, ii, 1, random, t, 394631, tei, 571, 2184921
100_20_05, 100, 20, ii, 1, random, e, 394631, tei, 33980, 1590142
100_20_05, 100, 20, ii, 1, random, i, 394631, tei, 52149, 1578748
100_20_05, 100, 20, ii, 1, rz, t, 394631, tei, 47, 1620783
100_20_05, 100, 20, ii, 1, rz, e, 394631, tei, 8001, 1598541
100_20_05, 100, 20, ii, 1, rz, i, 394631, tei, 16200, 1573492
100_20_06, 100, 20, ii, 0, random, t, 99719, tei, 438, 2254087
100_20_06, 100, 20, ii, 0, random, e, 99719, tei, 110494, 1710461
100_20_06, 100, 20, ii, 0, random, i, 99719, tei, 235120, 1690324
100_20_06, 100, 20, ii, 0, rz, t, 99719, tei, 45, 1726426
100_20_06, 100, 20, ii, 0, rz, e, 99719, tei, 7141, 1712435
100_20_06, 100, 20, ii, 0, rz, i, 99719, tei, 19890, 1701186
100_20_06, 100, 20, ii, 1, random, t, 99719, tei, 512, 2260755
100_20_06, 100, 20, ii, 1, random, e, 99719, tei, 22418, 1744922
100_20_06, 100, 20, ii, 1, random, i, 99719, tei, 61249, 1711644
100_20_06, 100, 20, ii, 1, rz, t, 99719, tei, 57, 1726359
100_20_06, 100, 20, ii, 1, rz, e, 99719, tei, 5942, 1709549
100_20_06, 100, 20, ii, 1, rz, i, 99719, tei, 16774, 1691374
100_20_07, 100, 20, ii, 0, random, t, 311830, tei, 664, 2524079
100_20_07, 100, 20, ii, 0, random, e, 311830, tei, 119325, 1801351
100_20_07, 100, 20, ii, 0, random, i, 311830, tei, 302634, 1809503
100_20_07, 100, 20, ii, 0, rz, t, 311830, tei, 27, 1858047
100_20_07, 100, 20, ii, 0, rz, e, 311830, tei, 11470, 1828253
100_20_07, 100, 20, ii, 0, rz, i, 311830, tei, 16575, 1823774
100_20_07, 100, 20, ii, 1, random, t, 311830, tei, 663, 2519516
100_20_07, 100, 20, ii, 1, random, e, 311830, tei, 27220, 1863666
100_20_07, 100, 20, ii, 1, random, i, 311830, tei, 56411, 1838983
100_20_07, 100, 20, ii, 1, rz, t, 311830, tei, 47, 1855342
100_20_07, 100, 20, ii, 1, rz, e, 311830, tei, 3916, 1841046
100_20_07, 100, 20, ii, 1, rz, i, 311830, tei, 21181, 1803400
100_20_08, 100, 20, ii, 0, random, t, 317267, tei, 696, 2627232
100_20_08, 100, 20, ii, 0, random, e, 317267, tei, 125088, 1788638
100_20_08, 100, 20, ii, 0, random, i, 317267, tei, 279268, 1791178
100_20_08, 100, 20, ii, 0, rz, t, 317267, tei, 37, 1832647
100_20_08, 100, 20, ii, 0, rz, e, 317267, tei, 7320, 1803533
100_20_08, 100, 20, ii, 0, rz, i, 317267, tei, 23031, 1782956
100_20_08, 100, 20, ii, 1, random, t, 317267, tei, 762, 2614175
100_20_08, 100, 20, ii, 1, random, e, 317267, tei, 34391, 1864055
100_20_08, 100, 20, ii, 1, random, i, 317267, tei, 69724, 1826389
100_20_08, 100, 20, ii, 1, rz, t, 317267, tei, 41, 1832773
100_20_08, 100, 20, ii, 1, rz, e, 317267, tei, 7573, 1801845
100_20_08, 100, 20, ii, 1, rz, i, 317267, tei, 10917, 1806087
100_20_09, 100, 20, ii, 0, random, t, 827337, tei, 390, 2530458
100_20_09, 100, 20, ii, 0, random, e, 827337, tei, 128000, 1879071
100_20_09, 100, 20, ii, 0, random, i, 827337, tei, 267852, 1875437
100_20_09, 100, 20, ii, 0, rz, t, 827337, tei, 82, 1942239
100_20_09, 100, 20, ii, 0, rz, e, 827337, tei, 14020, 1894310
100_20_09, 100, 20, ii, 0, rz, i, 827337, tei, 34009, 1878784
100_20_09, 100, 20, ii, 1, random, t, 827337, tei, 507, 2508758
100_20_09, 100, 20, ii, 1, random, e, 827337, tei, 30425, 1953483
100_20_09, 100, 20, ii, 1, random, i, 827337, tei, 70568, 1902142
100_20_09, 100, 20, ii, 1, rz, t, 827337, tei, 106, 1943186
100_20_09, 100, 20, ii, 1, rz, e, 827337, tei, 8632, 1911077
100_20_09, 100, 20, ii, 1, rz, i, 827337, tei, 15324, 1896771
100_20_10, 100, 20, ii, 0, random, t, 933017, tei, 439, 2322564
100_20_10, 100, 20, ii, 0, random, e, 933017, tei, 123234, 1678395
100_20_10, 100, 20, ii, 0, random, i, 933017, tei, 244637, 1700815
