filename, number_of_jobs, number_of_machines, algorithm, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, execution_time.ms, result
100_20_21, 100, 20, ii, 0, random, i, 184871, tei, 211683, 1757502
100_20_21, 100, 20, ii, 0, rz, t, 184871, tei, 34, 1794948
100_20_21, 100, 20, ii, 0, rz, e, 184871, tei, 3085, 1786989
100_20_21, 100, 20, ii, 0, rz, i, 184871, tei, 14546, 1749757
100_20_21, 100, 20, ii, 1, random, t, 184871, tei, 588, 2440296
100_20_21, 100, 20, ii, 1, random, e, 184871, tei, 25299, 1801812
100_20_21, 100, 20, ii, 1, random, i, 184871, tei, 53246, 1788742
100_20_21, 100, 20, ii, 1, rz, t, 184871, tei, 50, 1795109
100_20_21, 100, 20, ii, 1, rz, e, 184871, tei, 3850, 1787796
100_20_21, 100, 20, ii, 1, rz, i, 184871, tei, 19284, 1734645
100_20_22, 100, 20, ii, 0, random, t, 315962, tei, 321, 2369210
100_20_22, 100, 20, ii, 0, random, e, 315962, tei, 107639, 1778151
100_20_22, 100, 20, ii, 0, random, i, 315962, tei, 271539, 1771572
100_20_22, 100, 20, ii, 0, rz, t, 315962, tei, 25, 1820415
100_20_22, 100, 20, ii, 0, rz, e, 315962, tei, 14341, 1793708
100_20_22, 100, 20, ii, 0, rz, i, 315962, tei, 21010, 1768638
100_20_22, 100, 20, ii, 1, random, t, 315962, tei, 416, 2407659
100_20_22, 100, 20, ii, 1, random, e, 315962, tei, 24780, 1811422
100_20_22, 100, 20, ii, 1, random, i, 315962, tei, 48242, 1793217
100_20_22, 100, 20, ii, 1, rz, t, 315962, tei, 27, 1820415
100_20_22, 100, 20, ii, 1, rz, e, 315962, tei, 5644, 1807884
100_20_22, 100, 20, ii, 1, rz, i, 315962, tei, 22456, 1782273
100_20_23, 100, 20, ii, 0, random, t, 729439, tei, 224, 2490837
100_20_23, 100, 20, ii, 0, random, e, 729439, tei, 76564, 1811954
100_20_23, 100, 20, ii, 0, random, i, 729439, tei, 193759, 1836794
100_20_23, 100, 20, ii, 0, rz, t, 729439, tei, 31, 1870555
100_20_23, 100, 20, ii, 0, rz, e, 729439, tei, 11992, 1839433
100_20_23, 100, 20, ii, 0, rz, i, 729439, tei, 26392, 1818445
100_20_23, 100, 20, ii, 1, random, t, 729439, tei, 488, 2491423
100_20_23, 100, 20, ii, 1, random, e, 729439, tei, 20515, 1881670
100_20_23, 100, 20, ii, 1, random, i, 729439, tei, 50010, 1844788
100_20_23, 100, 20, ii, 1, rz, t, 729439, tei, 40, 1870555
100_20_23, 100, 20, ii, 1, rz, e, 729439, tei, 4489, 1854905
100_20_23, 100, 20, ii, 1, rz, i, 729439, tei, 15707, 1833881
100_20_24, 100, 20, ii, 0, random, t, 209752, tei, 583, 2380560
100_20_24, 100, 20, ii, 0, random, e, 209752, tei, 82446, 1720406
100_20_24, 100, 20, ii, 0, random, i, 209752, tei, 231450, 1747504
100_20_24, 100, 20, ii, 0, rz, t, 209752, tei, 34, 1778055
100_20_24, 100, 20, ii, 0, rz, e, 209752, tei, 13666, 1722336
100_20_24, 100, 20, ii, 0, rz, i, 209752, tei, 22787, 1738987
100_20_24, 100, 20, ii, 1, random, t, 209752, tei, 638, 2369601
100_20_24, 100, 20, ii, 1, random, e, 209752, tei, 21581, 1811118
100_20_24, 100, 20, ii, 1, random, i, 209752, tei, 49147, 1747734
100_20_24, 100, 20, ii, 1, rz, t, 209752, tei, 42, 1778055
100_20_24, 100, 20, ii, 1, rz, e, 209752, tei, 8655, 1742005
100_20_24, 100, 20, ii, 1, rz, i, 209752, tei, 23517, 1734255
100_20_25, 100, 20, ii, 0, random, t, 573263, tei, 455, 2466201
100_20_25, 100, 20, ii, 0, random, e, 573263, tei, 119643, 1740783
100_20_25, 100, 20, ii, 0, random, i, 573263, tei, 239151, 1734704
100_20_25, 100, 20, ii, 0, rz, t, 573263, tei, 27, 1789791
100_20_25, 100, 20, ii, 0, rz, e, 573263, tei, 2461, 1770067
100_20_25, 100, 20, ii, 0, rz, i, 573263, tei, 23805, 1757994
100_20_25, 100, 20, ii, 1, random, t, 573263, tei, 631, 2488658
100_20_25, 100, 20, ii, 1, random, e, 573263, tei, 26608, 1794112
100_20_25, 100, 20, ii, 1, random, i, 573263, tei, 64402, 1754387
100_20_25, 100, 20, ii, 1, rz, t, 573263, tei, 27, 1789791
100_20_25, 100, 20, ii, 1, rz, e, 573263, tei, 1706, 1783862
100_20_25, 100, 20, ii, 1, rz, i, 573263, tei, 12372, 1760246
100_20_26, 100, 20, ii, 0, random, t, 832192, tei, 435, 2246425
100_20_26, 100, 20, ii, 0, random, e, 832192, tei, 99659, 1590617
100_20_26, 100, 20, ii, 0, random, i, 832192, tei, 242828, 1595072
100_20_26, 100, 20, ii, 0, rz, t, 832192, tei, 18, 1647057
100_20_26, 100, 20, ii, 0, rz, e, 832192, tei, 9890, 1620038
100_20_26, 100, 20, ii, 0, rz, i, 832192, tei, 19245, 1596557
100_20_26, 100, 20, ii, 1, random, t, 832192, tei, 365, 2261673
100_20_26, 100, 20, ii, 1, random, e, 832192, tei, 23643, 1640286
100_20_26, 100, 20, ii, 1, random, i, 832192, tei, 70681, 1609129
100_20_26, 100, 20, ii, 1, rz, t, 832192, tei, 23, 1647057
100_20_26, 100, 20, ii, 1, rz, e, 832192, tei, 5945, 1632164
100_20_26, 100, 20, ii, 1, rz, i, 832192, tei, 25937, 1597788
100_20_27, 100, 20, ii, 0, random, t, 288442, tei, 305, 2469540
100_20_27, 100, 20, ii, 0, random, e, 288442, tei, 102287, 1883717
100_20_27, 100, 20, ii, 0, random, i, 288442, tei, 230286, 1898937
100_20_27, 100, 20, ii, 0, rz, t, 288442, tei, 24, 1960250
100_20_27, 100, 20, ii, 0, rz, e, 288442, tei, 2820, 1928315
100_20_27, 100, 20, ii, 0, rz, i, 288442, tei, 18960, 1901675
100_20_27, 100, 20, ii, 1, random, t, 288442, tei, 326, 2490851
100_20_27, 100, 20, ii, 1, random, e, 288442, tei, 22249, 1941712
100_20_27, 100, 20, ii, 1, random, i, 288442, tei, 46536, 1948822
100_20_27, 100, 20, ii, 1, rz, t, 288442, tei, 27, 1960250
100_20_27, 100, 20, ii, 1, rz, e, 288442, tei, 6182, 1922398
100_20_27, 100, 20, ii, 1, rz, i, 288442, tei, 10629, 1920572
100_20_28, 100, 20, ii, 0, random, t, 184825, tei, 417, 2400534
100_20_28, 100, 20, ii, 0, random, e, 184825, tei, 102729, 1768392
100_20_28, 100, 20, ii, 0, random, i, 184825, tei, 289321, 1760977
100_20_28, 100, 20, ii, 0, rz, t, 184825, tei, 14, 1822294
100_20_28, 100, 20, ii, 0, rz, e, 184825, tei, 12061, 1783342
100_20_28, 100, 20, ii, 0, rz, i, 184825, tei, 19371, 1769285
100_20_28, 100, 20, ii, 1, random, t, 184825, tei, 411, 2433028
100_20_28, 100, 20, ii, 1, random, e, 184825, tei, 20329, 1825724
100_20_28, 100, 20, ii, 1, random, i, 184825, tei, 47404, 1792243
100_20_28, 100, 20, ii, 1, rz, t, 184825, tei, 50, 1822294
100_20_28, 100, 20, ii, 1, rz, e, 184825, tei, 10429, 1792323
100_20_28, 100, 20, ii, 1, rz, i, 184825, tei, 20374, 1771378
100_20_29, 100, 20, ii, 0, random, t, 251400, tei, 486, 2609208
